,position,title,place_id,data_id,data_cid,reviews_link,photos_link,gps_coordinates,place_id_search,rating,reviews,price,type,address,open_state,hours,operating_hours,phone,website,service_options,thumbnail,description,unclaimed_listing,user_review
10,12,Epoque,ChIJK0RHKXfzT0YRO0dKQIRges4,0x464ff3772947442b:0xce7a6084404a473b,14878310440102414139,https://serpapi.com/search.json?data_id=0x464ff3772947442b%3A0xce7a6084404a473b&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3772947442b%3A0xce7a6084404a473b&engine=google_maps_photos&hl=sv,"{'latitude': 57.699263099999996, 'longitude': 11.9808992}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3772947442b%3A0xce7a6084404a473b%218m2%213d57.699263099999996%214d11.9808992&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.6,366.0,$$,Restaurang,"Södra Vägen 8A, 412 54 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'torsdag': '17–23', 'fredag': '17–00', 'lördag': '17–00', 'söndag': 'Stängt', 'måndag': 'Stängt', 'tisdag': '17–23', 'onsdag': '17–23'}",+46 31 318 66 00,http://epoquegbg.se/,"{'servering': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipOYsft_5OjrerssWXU6izbrmLxPcd32aHgpz53t=w109-h92-k-no,Fin restaurang med ambitiösa rätter. Elegant restaurang med fin mat i trivsam miljö och en gedigen vinlista.,,
11,13,TAVOLO,ChIJZ2cWFjPzT0YReqjXDlQ96hs,0x464ff33316166767:0x1bea3d540ed7a87a,2011487614809909370,https://serpapi.com/search.json?data_id=0x464ff33316166767%3A0x1bea3d540ed7a87a&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff33316166767%3A0x1bea3d540ed7a87a&engine=google_maps_photos&hl=sv,"{'latitude': 57.702682599999996, 'longitude': 11.962765899999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff33316166767%3A0x1bea3d540ed7a87a%218m2%213d57.702682599999996%214d11.962765899999999&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.1,1149.0,$$$,Italiensk restaurang,"Magasinsgatan 19, 411 16 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'torsdag': '17–23', 'fredag': '16–01', 'lördag': '12–01', 'söndag': '17–23', 'måndag': '17–23', 'tisdag': '17–23', 'onsdag': '17–23'}",+46 31 787 98 09,https://tavolo.se/,"{'servering': True, 'avhämtning': True, 'hemkörning': True}",https://lh5.googleusercontent.com/p/AF1QipP1EwUrFQ18qoY0OAgEeaQ5AXvzuzZcn6aVz58p=w163-h92-k-no,"Italiensk mat i dramatisk miljö. Fin italiensk mat i restaurerat stall från 1800-talet med glastak, mosaik och en stor hästskulptur.",,
12,14,Natur,ChIJ7dTXQ3HzT0YRL2NNhAH7GrQ,0x464ff37143d7d4ed:0xb41afb01844d632f,12977961260154708783,https://serpapi.com/search.json?data_id=0x464ff37143d7d4ed%3A0xb41afb01844d632f&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff37143d7d4ed%3A0xb41afb01844d632f&engine=google_maps_photos&hl=sv,"{'latitude': 57.6975342, 'longitude': 11.9774307}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff37143d7d4ed%3A0xb41afb01844d632f%218m2%213d57.6975342%214d11.9774307&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.6,506.0,$$$,Ekologisk restaurang,"Geijersgatan 12, 411 34 Göteborg, Sverige",Öppet ⋅ Stänger 00,Öppet ⋅ Stänger 00,"{'torsdag': '17–00', 'fredag': '17–00', 'lördag': '17–00', 'söndag': '17–00', 'måndag': '17–00', 'tisdag': '17–00', 'onsdag': '17–00'}",+46 31 16 08 88,https://www.restaurangnatur.se/,"{'servering': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipMPoCB_Qhwi7B-qh6a1v857s946_XlgGFgeQQYg=w138-h92-k-no,"Mysigt ställe med ekologisk mat och vin. Innovativa, ekologiska rätter och ett stort utbud av naturviner serveras på denna mysiga restaurang.",,
13,15,Bord 27,ChIJefWCEGzzT0YRdLQri2ZIvtc,0x464ff36c1082f579:0xd7be48668b2bb474,15545942568988292212,https://serpapi.com/search.json?data_id=0x464ff36c1082f579%3A0xd7be48668b2bb474&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff36c1082f579%3A0xd7be48668b2bb474&engine=google_maps_photos&hl=sv,"{'latitude': 57.6971237, 'longitude': 11.9629155}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff36c1082f579%3A0xd7be48668b2bb474%218m2%213d57.6971237%214d11.9629155&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.7,937.0,$$,Restaurang,"Haga kyrkogata 14, 411 23 Göteborg, Sverige",Öppet ⋅ Stänger 22:30,Öppet ⋅ Stänger 22:30,"{'torsdag': '17–22:30', 'fredag': '17–22:30', 'lördag': '13–22:30', 'söndag': '13–22:30', 'måndag': '17–22:30', 'tisdag': '17–22:30', 'onsdag': '17–22:30'}",+46 31 10 90 50,https://www.bord27.se/,"{'servering': True, 'avhämtning': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipMtxgBhKXSPsUJ2Ul9KZaMJnEn2DfhDEILJVaso=w80-h106-k-no,"Trivsamt ställe med kreativt lokalt kök. Kvarterskrog med lokal meny med fokus på nya varianter av kötträtter, skaldjur och efterrätter, samt vin.",,
14,16,Källarkrogen,ChIJLTiyEWXzT0YRq0mEHSUpJFM,0x464ff36511b2382d:0x532429251d8449ab,5990958643695339947,https://serpapi.com/search.json?data_id=0x464ff36511b2382d%3A0x532429251d8449ab&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff36511b2382d%3A0x532429251d8449ab&engine=google_maps_photos&hl=sv,"{'latitude': 57.7047543, 'longitude': 11.970840299999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff36511b2382d%3A0x532429251d8449ab%218m2%213d57.7047543%214d11.970840299999999&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,3.8,916.0,$$,Svensk restaurang,"Östra Larmgatan 20, 411 07 Göteborg, Sverige",Stängt ⋅ Öppnar fre kl. 11:30,Stängt ⋅ Öppnar fre kl. 11:30,"{'torsdag': '11:30–21', 'fredag': '11:30–22', 'lördag': '12–22', 'söndag': '12–20', 'måndag': '11:30–15', 'tisdag': '11:30–21', 'onsdag': '11:30–21'}",+46 31 711 85 40,https://www.kallarkrogen.net/,"{'servering': True, 'avhämtning': True, 'hemkörning': True}",https://lh5.googleusercontent.com/p/AF1QipNt-UNbZj-l--dW8Lo1IuNPOlsBGndg9G1FZDtB=w122-h92-k-no,,True,
15,17,Restaurang VRÅ,ChIJCz4nVmPzT0YRgSmb1Nj0hV0,0x464ff36356273e0b:0x5d85f4d8d49b2981,6739061629546867073,https://serpapi.com/search.json?data_id=0x464ff36356273e0b%3A0x5d85f4d8d49b2981&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff36356273e0b%3A0x5d85f4d8d49b2981&engine=google_maps_photos&hl=sv,"{'latitude': 57.7079934, 'longitude': 11.974568999999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff36356273e0b%3A0x5d85f4d8d49b2981%218m2%213d57.7079934%214d11.974568999999999&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.4,274.0,,Restaurang,"Drottningtorget 10, 411 03 Göteborg, Sverige",Öppet ⋅ Stänger 22:30,Öppet ⋅ Stänger 22:30,"{'torsdag': '17–22:30', 'fredag': '17–22:30', 'lördag': '17–22:30', 'söndag': 'Stängt', 'måndag': 'Stängt', 'tisdag': '17–22:30', 'onsdag': '17–22:30'}",+46 31 61 90 60,http://www.restaurangvra.se/,"{'servering': True, 'avhämtning': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipP9n9RJo_wDtBd617T7j3LDc-AVVxB7QkKfqHnH=w122-h92-k-no,,,
16,18,SK Mat & Människor,ChIJC3BEjXbzT0YRsB_gtrUm-20,0x464ff3768d44700b:0x6dfb26b5b6e01fb0,7924970531187597232,https://serpapi.com/search.json?data_id=0x464ff3768d44700b%3A0x6dfb26b5b6e01fb0&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3768d44700b%3A0x6dfb26b5b6e01fb0&engine=google_maps_photos&hl=sv,"{'latitude': 57.6971232, 'longitude': 11.983079}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3768d44700b%3A0x6dfb26b5b6e01fb0%218m2%213d57.6971232%214d11.983079&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.7,841.0,$$$$,Svensk restaurang,"Johannebergsgatan 24, 412 55 Göteborg, Sverige",Öppet ⋅ Stänger 00,Öppet ⋅ Stänger 00,"{'torsdag': '17–00', 'fredag': '17–00', 'lördag': '17–00', 'söndag': 'Stängt', 'måndag': '17–00', 'tisdag': '17–00', 'onsdag': '17–00'}",+46 31 81 25 80,http://www.skmat.se/,"{'servering': True, 'hämtning_utanför': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipMd7qlDUttu8kD9s-SMyhV3mVzbkP6aquOEUVck=w122-h92-k-no,"Modern svensk restaurang och vinbar. Elegant, intim bistro och vinbar känd för kreativa versioner av klassiska skandinaviska rätter.",,
17,19,Somm,ChIJLyzp9nDzT0YRPuDseL5nu-s,0x464ff370f6e92c2f:0xebbb67be78ece03e,16986284487328194622,https://serpapi.com/search.json?data_id=0x464ff370f6e92c2f%3A0xebbb67be78ece03e&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff370f6e92c2f%3A0xebbb67be78ece03e&engine=google_maps_photos&hl=sv,"{'latitude': 57.7003786, 'longitude': 11.9766788}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff370f6e92c2f%3A0xebbb67be78ece03e%218m2%213d57.7003786%214d11.9766788&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.6,232.0,$$,Exklusiv restaurang,"Lorensbergsgatan 8, 411 36 Göteborg, Sverige",Stänger snart ⋅ 22 ⋅ Öppnar kl. 17 på fre,Stänger snart ⋅ 22 ⋅ Öppnar kl. 17 på fre,"{'torsdag': '18–22', 'fredag': '17–23', 'lördag': '17–23', 'söndag': 'Stängt', 'måndag': 'Stängt', 'tisdag': 'Stängt', 'onsdag': '18–22'}",+46 31 28 28 40,http://www.somm.se/,"{'servering': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipMET96guO7akwD_1WvhOkwJLdYhdshkJNi7NvN3=w174-h92-k-no,"Populär lyxrestaurang med avsmakning. Säsongsbetonade specialiteter, avsmakningsmenyer och vin på välrenommerad fin restaurang.",,
18,20,Noot Nordik Kitchen & Bar,ChIJsdI39QvzT0YRUyl1UZpjnPw,0x464ff30bf537d2b1:0xfc9c639a51752953,18202533308367448403,https://serpapi.com/search.json?data_id=0x464ff30bf537d2b1%3A0xfc9c639a51752953&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff30bf537d2b1%3A0xfc9c639a51752953&engine=google_maps_photos&hl=sv,"{'latitude': 57.706931999999995, 'longitude': 11.9721842}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff30bf537d2b1%3A0xfc9c639a51752953%218m2%213d57.706931999999995%214d11.9721842&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,4.3,201.0,,Restaurang,"Östra Larmgatan 4, 411 06 Göteborg, Sverige",Öppet ⋅ Stänger 23,Öppet ⋅ Stänger 23,"{'torsdag': '11:30–23', 'fredag': '11:30–23', 'lördag': '16–23', 'söndag': 'Stängt', 'måndag': '11:30–23', 'tisdag': '11:30–23', 'onsdag': '11:30–23'}",+46 31 758 50 05,http://www.noot.se/,"{'servering': True, 'hämtning_utanför': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipPHpkTG9HCFbM-CaT4wiKkxCMeGE3YUtQbNQS93=w122-h92-k-no,,,
19,21,Angelini Göteborg,ChIJa16ogjjzT0YRA9Qs0LdsBDc,0x464ff33882a85e6b:0x37046cb7d02cd403,3964413108720292867,https://serpapi.com/search.json?data_id=0x464ff33882a85e6b%3A0x37046cb7d02cd403&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff33882a85e6b%3A0x37046cb7d02cd403&engine=google_maps_photos&hl=sv,"{'latitude': 57.7080651, 'longitude': 11.971185199999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff33882a85e6b%3A0x37046cb7d02cd403%218m2%213d57.7080651%214d11.971185199999999&engine=google_maps&google_domain=google.se&hl=sv&start=0&type=place,3.8,48.0,,Italiensk restaurang,"Nils Ericsonsgatan 23, 411 03 Göteborg, Sverige",,,,+46 31 61 71 10,https://ligula.se/angelini-goteborg/,"{'servering': True, 'avhämtning': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipPz0WB8meLKtHTwWxBWBpPBUtEG7Qskuz_B5D20=w138-h92-k-no,,,
0,1,Bistro Södra 32,ChIJZWECXXbzT0YRmP2MOjNkp_I,0x464ff3765d026165:0xf2a764333a8cfd98,17485054249477668248,https://serpapi.com/search.json?data_id=0x464ff3765d026165%3A0xf2a764333a8cfd98&engine=google_maps_reviews&hl=sv,https://serpapi.com/search.json?data_id=0x464ff3765d026165%3A0xf2a764333a8cfd98&engine=google_maps_photos&hl=sv,"{'latitude': 57.6974368, 'longitude': 11.984767399999999}",https://serpapi.com/search.json?data=%214m5%213m4%211s0x464ff3765d026165%3A0xf2a764333a8cfd98%218m2%213d57.6974368%214d11.984767399999999&engine=google_maps&google_domain=google.se&hl=sv&start=20&type=place,4.0,683.0,$$,Bistro,"Södra Vägen 32, 412 54 Göteborg, Sverige",Öppet ⋅ Stänger 00,Öppet ⋅ Stänger 00,"{'torsdag': '16–00', 'fredag': '16–02', 'lördag': '12–02', 'söndag': '13–00', 'måndag': '16–00', 'tisdag': '16–00', 'onsdag': '16–00'}",+46 31 16 11 83,https://bistrosodra32.se/,"{'servering': True, 'hämtning_utanför': True, 'hemkörning': False}",https://lh5.googleusercontent.com/p/AF1QipMPAHcGBrxLIh74X1IjwVTE6DgEfzEotoFct1iH=w163-h92-k-no,,,
